Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Angelopoulou, Theodora; Tziolas, Nikolaos; Balafoutis, Athanasios; Zalidis, George; Bochtis, Dionysis; ",Remote sensing techniques for soil organic carbon estimation: A review,Remote Sensing,11,6,676,2019,MDPI
"Paustian, Keith; Collier, Sarah; Baldock, Jeff; Burgess, Rachel; Creque, Jeff; DeLonge, Marcia; Dungait, Jennifer; Ellert, Ben; Frank, Stefan; Goddard, Tom; ",Quantifying carbon for agricultural soil management: from the current status toward a global soil information system,Carbon Management,10,6,567-587,2019,Taylor & Francis
"Croft, H; Kuhn, NJ; Anderson, K; ",On the use of remote sensing techniques for monitoring spatio-temporal soil organic carbon dynamics in agricultural systems,Catena,94,,64-74,2012,Elsevier
"Bhunia, Gouri Sankar; Kumar Shit, Pravat; Pourghasemi, Hamid Reza; ",Soil organic carbon mapping using remote sensing techniques and multivariate regression model,Geocarto International,34,2,215-226,2019,Taylor & Francis
"Mondal, Arun; Khare, Deepak; Kundu, Sananda; Mondal, Surajit; Mukherjee, Sandip; Mukhopadhyay, Anirban; ",Spatial soil organic carbon (SOC) prediction by regression kriging using remote sensing data,The Egyptian Journal of Remote Sensing and Space Science,20,1,61-70,2017,Elsevier
"Schillaci, Calogero; Acutis, Marco; Lombardo, Luigi; Lipani, Aldo; Fantappie, Maria; Märker, Michael; Saia, Sergio; ","Spatio-temporal topsoil organic carbon mapping of a semi-arid Mediterranean region: The role of land use, soil texture, topographic indices and the influence of remote sensing data to modelling",Science of the total environment,601,,821-832,2017,Elsevier
"Mallik, Santanu; Bhowmik, Tridip; Mishra, Umesh; Paul, Niladri; ",Mapping and prediction of soil organic carbon by an advanced geostatistical technique using remote sensing and terrain data,Geocarto International,37,8,2198-2214,2022,Taylor & Francis
"Weiss, Marie; Jacob, Frédéric; Duveiller, Grgory; ",Remote sensing for agricultural applications: A meta-review,Remote Sensing of Environment,236,,111402,2020,Elsevier
"Castaldi, Fabio; Hueni, Andreas; Chabrillat, Sabine; Ward, Kathrin; Buttafuoco, Gabriele; Bomans, Bart; Vreys, Kristin; Brell, Maximilian; van Wesemael, Bas; ",Evaluating the capability of the Sentinel 2 data for soil organic carbon prediction in croplands,ISPRS Journal of Photogrammetry and Remote Sensing,147,,267-282,2019,Elsevier
"Kumar, Lalit; Mutanga, Onisimo; ",Remote sensing of above-ground biomass,Remote Sensing,9,9,935,2017,MDPI
"Gholizadeh, Asa; Žižala, Daniel; Saberioon, Mohammadmehdi; Borůvka, Luboš; ","Soil organic carbon and texture retrieving and mapping using proximal, airborne and Sentinel-2 spectral imaging",Remote Sensing of Environment,218,,89-103,2018,Elsevier
"Forkuor, Gerald; Hounkpatin, Ozias KL; Welp, Gerhard; Thiel, Michael; ",High resolution mapping of soil properties using remote sensing variables in south-western Burkina Faso: a comparison of machine learning and multiple linear regression models,PloS one,12,1,e0170478,2017,"Public Library of Science San Francisco, CA USA"
