Key,Item Type,Publication Year,Author,Title,type,Spectral,RS_type,AG_BG,Method,Area_Country,Latitude,Longitude,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments
FALBVN8I,journalArticle,2016,"Aldana-Jague, Emilien; Heckrath, Goswin; Macdonald, Andy; van Wesemael, Bas; Van Oost, Kristof",UAS-based soil carbon mapping using VIS-NIR (480–1000 nm) multi-spectral imaging: Potential and limitations,article,multispectral,UAV,BG,SVMR ,UK,54,-4,Geoderma,,167061,10.1016/j.geoderma.2016.04.012,https://linkinghub.elsevier.com/retrieve/pii/S0016706116301653,"Traditional methods to assess the soil organic carbon (SOC) content based on soil sampling and analysis are time consuming and expensive, and the results are inﬂuenced by the sampling design. The aim of this study was to investigate the potential of UAS (Unmanned Aerial Systems) multi-spectral imagery (480–1000 nm) for estimating the SOC content in bare cultivated soils at a high spatial resolution (12 cm). We performed UAS analysis on the Hoosﬁeld Spring Barley experiment at Rothamsted (UK) where adjacent plots with distinctly different SOC contents, due to different long-term management practices, provide a valuable resource to evaluate this approach. We acquired images (wavelength: 480–550–670–780–880–1000 nm) at an altitude of 120 m over an area of 2 ha using a multi-spectral camera mounted on an UAS. The high-resolution images captured smallscale variations at the soil surface (e.g. shadows, tillage and wheels marks). After a projection in new dimensions by a PCA, we calibrated a support vector machine regression using observations from conventional soil sampling and SOC measurements. The performance of the calibration had a R2 of 0.98 and a RMSE of 0.17%C. A crossvalidation showed that the model was robust, with an average R2 of 0.95 and a RMSE of 0.21%. An external validation dataset was used to evaluate the predicted spatial patterns of SOC content and a good ﬁt with an RMSE 0.26%C was obtained. Although this study shows that the methodology has a clear potential for use in precision agriculture or monitoring important soil properties following changes in management, we also identify and discuss its limitations and current shortcomings.",2016-08,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,55-66,,,275,,Geoderma,UAS-based soil carbon mapping using VIS-NIR (480–1000 nm) multi-spectral imaging,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/T3KFC4MB/Aldana-Jague et al. - 2016 - UAS-based soil carbon mapping using VIS-NIR (480–1.pdf
GGCW7842,journalArticle,2017,"Amirian Chakan, A.; Taghizadeh-Mehrjardi, R.; Kerry, R.; Kumar, S.; Khordehbin, S.; Yusefi Khanghah, S.",Spatial 3D distribution of soil organic carbon under different land use types,article,multispectral,spaceborne,BG,"ANN, RT",Iran,32,53,Environmental Monitoring and Assessment,,"0167-6369, 1573-2959",10.1007/s10661-017-5830-9,http://link.springer.com/10.1007/s10661-017-5830-9,"Soil organic carbon (SOC) has been assessed in three dimension (3D) in several studies, but little is known about the combined effects of land use and soil depth on SOC stocks in semi-arid areas. This paper investigates the 3D distribution of SOC to a depth of 1 m in a4600-haareainsoutheasternIran with different land uses under the irrigated farming (IF), dry farming (DF), orchards (Or), range plants on the Gachsaran formation (RaG), and range plants on a quaternary formation (RaQ). Predictions were made using the artificial neural networks (ANNs), regression trees (RTs), and spline functions with auxiliary covariates derived from a digital elevation model (DEM), the Landsat 8 imagery, and land use types. Correlation analysis showed that the main predictors for SOC in the topsoil were covariates derived from the imagery; however, for the lower depths, covariates derived from both the DEM and imagery were important. ANNs showed more efficiency than did RTs in predicting SOC. The results showed that 3D distribution of SOC was significantly affected by land use types. SOC stocks of soils under Or and IF were significantly higher than those under DF, RaG, and RaQ. The SOC below 30 cm accounted for about 59% of the total soil stock. Results showed that depth functions combined with digital soil mapping techniques provide a promising approach to evaluate 3D SOC distribution under different land uses in semi-arid regions and could be used to assess changes in time to determine appropriate management strategies.",2017-03,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,131,,3,189,,Environ Monit Assess,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/SXCP7PGK/Amirian Chakan et al. - 2017 - Spatial 3D distribution of soil organic carbon und.pdf
FBYWQAGV,journalArticle,2019,"Angelopoulou, Theodora; Tziolas, Nikolaos; Balafoutis, Athanasios; Zalidis, George; Bochtis, Dionysis",Remote Sensing Techniques for Soil Organic Carbon Estimation: A Review,review,,multiple,BG,multiple,multiple,,,Remote Sensing,,2072-4292,10.3390/rs11060676,https://www.mdpi.com/2072-4292/11/6/676,"Towards the need for sustainable development, remote sensing (RS) techniques in the Visible-Near Infrared–Shortwave Infrared (VNIR–SWIR, 400–2500 nm) region could assist in a more direct, cost-effective and rapid manner to estimate important indicators for soil monitoring purposes. Soil reﬂectance spectroscopy has been applied in various domains apart from laboratory conditions, e.g., sensors mounted on satellites, aircrafts and Unmanned Aerial Systems. The aim of this review is to illustrate the research made for soil organic carbon estimation, with the use of RS techniques, reporting the methodology and results of each study. It also aims to provide a comprehensive introduction in soil spectroscopy for those who are less conversant with the subject. In total, 28 journal articles were selected and further analysed. It was observed that prediction accuracy reduces from Unmanned Aerial Systems (UASs) to satellite platforms, though advances in machine learning techniques could further assist in the generation of better calibration models. There are some challenges concerning atmospheric, radiometric and geometric corrections, vegetation cover, soil moisture and roughness that still need to be addressed. The advantages and disadvantages of each approach are highlighted and future considerations are also discussed at the end.",3/21/19,9/1/22 17:17,9/1/22 17:17,9/1/22 17:17,676,,6,11,,Remote Sensing,Remote Sensing Techniques for Soil Organic Carbon Estimation,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/2AQ4BRP9/Angelopoulou et al. - 2019 - Remote Sensing Techniques for Soil Organic Carbon .pdf
Z9NN8PWW,journalArticle,2013,"Casa, Raffaele; Castaldi, Fabio; Pascucci, Simone; Basso, Bruno; Pignatti, Stefano",Geophysical and Hyperspectral Data Fusion Techniques for In-Field Estimation of Soil Properties,article,hyperspectral,spaceborne,BG,"PLSR, PLSR-K, RK",Italy,42.833333,12.833333,Vadose Zone Journal,,15391663,10.2136/vzj2012.0201,http://doi.wiley.com/10.2136/vzj2012.0201,"There is great interest in the development of inexpensive and rapid soil mapping methods for precision agriculture applications. Proximal and remote soil sensing are particularly valuable for this purpose, and there is great scope for their synergic use. The objective of this study was to compare different methods allowing the joint exploitation of hyperspectral satellite data and geophysical data for estimating soil properties at the field scale. Soil samples were collected in an agricultural field in Central Italy for the determination of several soil properties. Satellite images were acquired by the CHRIS-PROBA sensor, both under bare soil conditions and when the field was covered by a wheat crop. Geophysical data were obtained by the automatic resistivity profiling method (ARP), providing apparent soil electrical resistivity of the 0 to 50 cm layer. Regression-kriging (RK), partial least square regression (PLSR), and a combination of PLSR with geostatistics through kriging of the PLSR residuals (PLSR-K) were applied to estimate soil properties by employing all combinations of the available covariates. A multiple jack-knifing procedure was used for a statistical comparison of the ratio of performance to deviation (RPD) statistics across 300 replicates. Clay, sand, and available soil water content were estimated with a sufficient degree of accuracy (RPD > 1.4), especially when using the RK technique. PLSR-K estimated these variables with intermediate ability by using only remote sensing covariates and obtained, in most cases, better results than PLSR. For other soil variables, the prediction ability was unsatisfactory (RPD < 1.4) due to smaller sample and range and weaker correlation with the covariates.",2013-11,9/1/22 17:16,9/1/22 17:16,9/1/22 17:16,vzj2012.0201,,4,12,,Vadose Zone Journal,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/FNM6PLT6/Casa et al. - 2013 - Geophysical and Hyperspectral Data Fusion Techniqu.pdf
CVUP7WDB,journalArticle,2019,"Castaldi, Fabio; Chabrillat, Sabine; Don, Axel; van Wesemael, Bas",Soil Organic Carbon Mapping Using LUCAS Topsoil Database and Sentinel-2 Data: An Approach to Reduce Soil Moisture and Crop Residue Effects,article,multispectral,spaceborne,BG,LR,Germany,51.5,10.5,Remote Sensing,,2072-4292,10.3390/rs11182121,https://www.mdpi.com/2072-4292/11/18/2121,"Soil organic carbon (SOC) loss is one of the main causes of soil degradation in croplands. Thus, spatial and temporal monitoring of SOC is extremely important, both from the environmental and economic perspective. In this regard, the high temporal, spatial, and spectral resolution of the Sentinel-2 data can be exploited for monitoring SOC contents in the topsoil of croplands. In this study, we aim to test the eﬀect of the threshold for a spectral index linked to soil moisture and crop residues on the performance of SOC prediction models using the Multi-Spectral Instrument (MSI) Sentinel-2 and the European Land Use/cover Area frame Statistical survey (LUCAS) topsoil database. The LUCAS spectral data resampled according to MSI/Sentinel-2 bands, which were used to build SOC prediction models combining pairs of the bands. The SOC models were applied to a Sentinel-2 image acquired in North-Eastern Germany after removing the pixels characterized by clouds and green vegetation. Then, we tested diﬀerent thresholds of the Normalized Burn Ratio 2 (NBR2) index in order to mask moist soil pixels and those with dry vegetation and crop residues. The model accuracy was tested on an independent validation database and the best ratio of performance to deviation (RPD) was obtained using the average between bands B6 and B5 (Red-Edge Carbon Index: RE-CI) (RPD: 4.4) and between B4 and B5 (Red-Red-Edge Carbon Index: RRE-CI) (RPD: 2.9) for a very low NBR2 threshold (0.05). Employing a higher NBR2 tolerance (higher NBR2 values), the mapped area increases to the detriment of the validation accuracy. The proposed approach allowed us to accurately map SOC over a large area exploiting the LUCAS spectral library and, thus, avoid a new ad hoc ﬁeld campaign. Moreover, the threshold for selecting the bare soil pixels can be tuned, according to the goal of the survey. The quality of the SOC map for each tolerance level can be judged based on the ﬁgures of merit of the model.",9/12/19,9/1/22 17:17,9/1/22 17:17,9/1/22 17:17,2121,,18,11,,Remote Sensing,Soil Organic Carbon Mapping Using LUCAS Topsoil Database and Sentinel-2 Data,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/4BUMHHK7/Castaldi et al. - 2019 - Soil Organic Carbon Mapping Using LUCAS Topsoil Da.pdf
Z66MESC4,journalArticle,2019,"Castaldi, Fabio; Hueni, Andreas; Chabrillat, Sabine; Ward, Kathrin; Buttafuoco, Gabriele; Bomans, Bart; Vreys, Kristin; Brell, Maximilian; van Wesemael, Bas",Evaluating the capability of the Sentinel 2 data for soil organic carbon prediction in croplands,article,hyperspectral and multiespectral,spaceborne and airborne,BG,"PLSR, RF","Germany, Luxembourg, Belgium",,,ISPRS Journal of Photogrammetry and Remote Sensing,,9242716,10.1016/j.isprsjprs.2018.11.026,https://linkinghub.elsevier.com/retrieve/pii/S0924271618303289,"The short revisit time of the Sentinel-2 (S2) constellation entails a large availability of remote sensing data, but S2 data have been rarely used to predict soil organic carbon (SOC) content. Thus, this study aims at comparing the capability of multispectral S2 and airbornee hyperspectral remote sensing data for SOC prediction, and at the same time, we investigated the importance of spectral and spatial resolution through the signal-to-noise ratio (SNR), the variable importance in the prediction (VIP) models and the spatial variability of the SOC maps at field and regional scales. We tested the capability of the S2 data to predict SOC in croplands with quite different soil types and parent materials in Germany, Luxembourg and Belgium, using multivariate statistics and local ground calibration with soil samples. We split the calibration dataset into sub-regions according to soil maps and built a multivariate regression model within each sub-region. The prediction accuracy obtained by S2 data is generally slightly lower than that retrieved by airbornee hyperspectral data. The ratio of performance to deviation (RPD) is higher than 2 in Luxembourg (2.6) and German (2.2) site, while it is 1.1 in the Belgian area. After the spectral resampling of the airbornee data according to S2 band, the prediction accuracy did not change for four out of five of the sub-regions. The variable importance values obtained by S2 data showed the same trend as the airbornee VIP values, while the importance of SWIR bands decreased using airbornee data resampled according the S2 bands. These differences of VIP values can be explained by the loss of spectral resolution as compared to APEX data and the strong difference in terms of SNR between the SWIR region and other spectral regions. The investigation on the spatial variability of the SOC maps derived by S2 data has shown that the spatial resolution of S2 is adequate to describe SOC variability both within field and at regional scale.",2019-01,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,267-282,,,147,,ISPRS Journal of Photogrammetry and Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/F6U7LUSH/Castaldi et al. - 2019 - Evaluating the capability of the Sentinel 2 data f.pdf
QUN79KAG,journalArticle,2016,"Castaldi, Fabio; Palombo, Angelo; Santini, Federico; Pascucci, Simone; Pignatti, Stefano; Casa, Raffaele",Evaluation of the potential of the current and forthcoming multispectral and hyperspectral imagers to estimate soil texture and organic carbon,article,multispectral,spaceborne,BG,PLSR,Italy,42.833333,12.833333,Remote Sensing of Environment,,344257,10.1016/j.rse.2016.03.025,https://linkinghub.elsevier.com/retrieve/pii/S0034425716301195,"In this study the capabilities of seven multispectral and hyperspectral satellite imagers to estimate soil variables (clay, sand, silt and organic carbon content) were investigated using data from soil spectral libraries. Four current (EO-1 ALI and Hyperion, Landsat 8 OLI, Sentinel-2 MSI) and three forthcoming (EnMAP, PRISMA and HyspIRI) satellite imagers were compared. To this aim, two soil spectra datasets that simulated each imager were obtained: (i) resampled spectra according to the speciﬁc spectral response and resolution of each satellite imager and (ii) resampled spectra with declared or actual noise (radiometric and atmospheric) added. Compared with those using full spectral resolution data, the accuracy of Partial Least Square Regression (PLSR) predictive models generally decreased when using resampled spectra. In the absence of noise, the performances of hyperspectral imagers, in terms of Ratio of Performance to Interquartile Range (RPIQ), were generally signiﬁcantly better than those of multispectral imagers. For instance the best RPIQ for sand estimation was obtained using EnMAP simulated data (2.56), whereas the outcomes gained using multispectral imagers varied from 1.56 and 2.28. The addition of noise to the simulated spectra brought about a decrease of statistical accuracy in all estimation models, especially for Hyperion data. Although the addition of noise reduced the performance differences between multispectral and hyperspectral imagers, the forthcoming hyperspectral imagers nonetheless provided the best RPIQ values for clay (2.16–2.33), sand (2.10–2.17), silt (2.77–2.85) and organic carbon (2.48–2.51) estimation. To better understand the impact of spectral resolution and signal to noise ratio (SNR) on the estimation of soil variables, PLSR models were applied to resampled and simulated spectra, iteratively increasing the bandwidth to: 10, 20, 40, 80 and 160 nm. Results showed that, for a bandwidth of 40 nm, i.e., a spectral resolution lower than that of current and forthcoming imagers, the estimation accuracy was very similar to that obtained with a higher spectral resolution.",2016-06,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,54-65,,,179,,Remote Sensing of Environment,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/2L8I3TFQ/Castaldi et al. - 2016 - Evaluation of the potential of the current and for.pdf
PFRSQ22D,journalArticle,2019,"Chabrillat, S.; Ben-Dor, E.; Cierniewski, J.; Gomez, C.; Schmid, T.; van Wesemael, B.",Imaging Spectroscopy for Soil Mapping and Monitoring,review,,multiple,BG,multiple,multiple,,,Surveys in Geophysics,,"0169-3298, 1573-0956",10.1007/s10712-019-09524-0,http://link.springer.com/10.1007/s10712-019-09524-0,"There is a renewed awareness of the finite nature of the world’s soil resources, growing concern about soil security and significant uncertainties about the carrying capacity of the planet. Regular assessments of soil conditions from local through to global scales are requested, and there is a clear demand for accurate, up-to-date and spatially referenced soil information by the modelling scientific community, farmers and land users, and policy- and decision-makers. Soil and imaging spectroscopy, based on visible–near-infrared and shortwave infrared (400–2500 nm) spectral reflectance, has been shown to be a proven method for the quantitative prediction of key soil surface properties. With the upcoming launch of the next generation of hyperspectral satellite sensors in the next years, a high potential to meet the demand for global soil mapping and monitoring is appearing. In this paper, we briefly review the basic concepts of soil spectroscopy with a special attention to the effects of soil roughness on reflectance and then provide a review of state of the art, achievements and perspectives in soil mapping and monitoring based on imaging spectroscopy from airand spacebornee sensors. Selected application cases are presented for the modelling of soil organic carbon, mineralogical composition, topsoil water content and characterization of soil crust, soil erosion and soil degradation stages based on airbornee and simulated spacebornee imaging spectroscopy data. Further, current challenges, gaps and new directions toward enhanced soil properties modelling are presented. Overall, this paper highlights the potential and limitations of multiscale imaging spectroscopy nowadays for soil mapping and monitoring, and capabilities and requirements of upcoming spacebornee sensors as support for a more informed and sustainable use of our world’s soil resources.",2019-05,9/1/22 17:16,9/1/22 17:16,9/1/22 17:16,361-399,,3,40,,Surv Geophys,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/MBJ2QWTW/Chabrillat et al. - 2019 - Imaging Spectroscopy for Soil Mapping and Monitori.pdf
ERZYSHI5,journalArticle,2019,"Chen, Di; Chang, Naijie; Xiao, Jingfeng; Zhou, Qingbo; Wu, Wenbin",Mapping dynamics of soil organic matter in croplands with MODIS data and machine learning algorithms,article,multispectral,spaceborne,BG,"RF, GBRT, DT, BD",China,35,105,Science of The Total Environment,,489697,10.1016/j.scitotenv.2019.03.151,https://linkinghub.elsevier.com/retrieve/pii/S0048969719311337,"As an important indicator of soil quality, soil organic matter (SOM) significantly contributes to land productivity and ecosystem health. Accurately mapping SOM at regional scales is of critical importance for sustainable agriculture and soil utilization management and remains a grand challenge. Many studies used soil sampling data and machine learning algorithms to predict SOM at regional scales for a given year, while few studies mapped SOM for multiple years and examined its temporal dynamics. We compared the performance of four machine learning algorithms: decision tree (DT), bagging decision tree (BDT), random forest (RF), and gradient boosting regression trees (GBRT) in mapping SOM in Hubei province, China over the 18-year period from 2000 to 2017. Our results showed that RF and DT had the highest coefficient of determination (R2) (0.61) and the lowest potential bias (9.48 g/kg), respectively, while GBRT had the lowest mean error (ME) (1.26 g/kg), root mean squared error (RMSE) (5.41 g/kg) and Lin's concordance correlation coefficient (LCCC) (0.72). The SOM map based on GBRT better captured the distribution of the soil sample data than that based on RF. The trained GBRT model and the spatially explicitly data on explanatory variables (e.g., climate, terrain, remote sensing) were used to predict SOM for each 500 m × 500 m grid cell in Hubei for the period from 2000 to 2017. Our results showed that the SOM content of cropland was relatively high in the southeast and relatively low in the north. The SOM content in the topsoil varied from 0.89 to 58.86 g/kg and was averaged at 20.52 g/kg. The mean cropland SOM content of the province exhibited an increasing trend from 2000 to 2017 with an increase of 0. 26 g/kg and a growth rate of 1.28%. Spatially, the SOM content increased in southern Hubei and decreased in central and northern parts of the province. A large portion of the areas with decreasing SOM content in northern Hubei was reclaimed cropland, while a large part of the high-quality cropland with rising SOM content in the east (~0.45 × 104 ha) was lost due to land use change (e.g., urbanization).",2019-06,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,844-855,,,669,,Science of The Total Environment,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/H5A2IMND/Chen et al. - 2019 - Mapping dynamics of soil organic matter in croplan.pdf
G7VYB6KM,journalArticle,2012,"Croft, H.; Kuhn, N.J.; Anderson, K.",On the use of remote sensing techniques for monitoring spatio-temporal soil organic carbon dynamics in agricultural systems,review,,multiple,BG,,multiple,,,CATENA,,3418162,10.1016/j.catena.2012.01.001,https://linkinghub.elsevier.com/retrieve/pii/S0341816212000045,"Soil organic carbon (SOC) dynamics affect soil quality, agricultural productivity and atmospheric CO2 concentration. Despite the need for spatial assessments of SOC content over time, reliable estimates from traditional ﬁeld survey methods are limited by data availability; where measurements are often made at discrete point locations, at a coarse sample spacing or over a limited spatial extent. Remote sensing (RS) is in a strong position to provide spatially distributed, reproducible, scale-appropriate and resource-efﬁcient measurements of SOC content and ﬂuxes at ﬁeld, landscape and regional scales. This paper provides a critical review of optical RS techniques for such applications. The ﬁrst part of the paper reviews the methods, instruments and techniques used for developing predictive models for monitoring spatial SOC content. Secondly, sources of spatio-temporal SOC variations are examined, including the lateral transfer of SOC by erosion, soil structural breakdown and land management practices, in the context of RS data and techniques. The key challenges of using RS to monitor SOC contents are discussed along with opportunities for improving SOC predictions within a spatial framework. Such opportunities include the use of ancillary data, scale-speciﬁc methods, improved development of spectral libraries and better integration of RS technologies into empirical and simulation SOC models. This paper aims to provide a transparent assessment and practical guide to RS techniques and products in order to further advance and better incorporate the use of RS methods within soil science.",2012-07,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,64-74,,,94,,CATENA,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/PP3V9LEK/Croft et al. - 2012 - On the use of remote sensing techniques for monito.pdf
