Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Wang X., Wang L., Li S., Wang Z., Zheng M., Song K.","56038252100;57224867890;55836991600;56021233500;57819084400;8453127300;","Remote estimates of soil organic carbon using multi-temporal synthetic images and the probability hybrid model",2022,"Geoderma","425",,"116066","","",,,"10.1016/j.geoderma.2022.116066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134890081&doi=10.1016%2fj.geoderma.2022.116066&partnerID=40&md5=756e0249af141e1e7356dc9e35e20660","Soil organic carbon (SOC) plays a key role in soil function, ecosystem services, and the global carbon cycle. Digital SOC mapping is essential for agricultural production management. Digital SOC mapping based on multi-source remote sensing data has been integrated well into prediction models and methodological approaches on different mapping scales. However, the mixed use of synthetic images and the application of the hybrid model considering the soil classification probability are rare. Here, we propose a probability hybrid model to estimate and map SOC content and distribution. Multi-temporal synthetic images were used to build the probability hybrid model. One hundred forty topsoil samples were collected in Suihua, a city in a typical black soil region in China. Cloud-free Sentinel-2 images were acquired from the bare soil periods between 2018 and 2021. Minimum, maximum, mean, and median synthetic images were calculated using single images from the same period. The random forest and support vector machine models were used for discriminating soil class and calculating soil classification probability, and then random forest regression model was applied to SOC mapping. Soil class mapping and classification probability were performed for Phaeozems, Chernozems, and Cambisols of the World Reference Base for Soil Resources (WRB) based on soil texture, climatic factors, and the normalized differential vegetation index (NDVI). Based on soil class mapping results, global models using single temporal images and multi-temporal images, the hybrid model using multi-temporal images for the three soil classes as well as a probability hybrid model using multi-temporal images were built and compared their SOC predictions. Our study showed that (1) Phaeozems, Chernozems and Cambisols could be classified accurately, and the overall validation accuracy of random forest model was 91.67%. (2) The correlations of SOC with bands and band indices improved using multi-temporal images, and the use of mixed synthetic images was better than the use of only one synthetic image. (3) The hybrid model performed far better than the global models, and the probability hybrid model led to the highest prediction accuracy, a validation R2 of 0.77 and an RMSE of 2.30 g kg−1. (4) The probability hybrid model was more accurate than the original hybrid model for digital SOC mapping, and the SOC distribution in boundary regions was smoother and more continuous. Our results suggest that the probability hybrid model has a large potential for SOC prediction and mapping. © 2022 Elsevier B.V.","Probability hybrid model; Random forest; SOC; Typical black soil regions","Agriculture; Ecosystems; Forecasting; Image enhancement; Organic carbon; Probability distributions; Random forests; Regression analysis; Remote sensing; Soils; Support vector machines; Textures; Vegetation mapping; Black soil regions; Hybrid model; Multi-temporal; Multi-temporal image; Probability hybrid model; Random forests; Soil class; Soil organic carbon; Synthetic images; Typical black soil region; Decision trees; accuracy assessment; agricultural production; bare soil; Cambisol; classification; mapping; model validation; NDVI; Phaeozem; probability; remote sensing; satellite imagery; soil organic matter; China","English",Article,"Final","",Scopus,2-s2.0-85134890081
"Haithem B., Damien R., Meriem B., Philippe L., Mohamed A.","57794388400;57794945900;57794112800;57794946000;56215674300;","Mapping soil organic carbon stocks in Tunisian topsoils",2022,"Geoderma Regional","30",,"e00561","","",,,"10.1016/j.geodrs.2022.e00561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133843894&doi=10.1016%2fj.geodrs.2022.e00561&partnerID=40&md5=8f4c65972d9d05391c37c9c72b93221c","Better knowledge of the amount and spatial distribution of soil organic carbon (SOC) stock at national level is a key element for monitoring, planning and decision-making regarding soil quality management, agriculture or carbon storage options. The present study proposes for the first time a Digital Soil Mapping (DSM) initiative to map SOC stocks in Tunisian topsoils (0–30 cm) at 100 m resolution, using a Quantile Regression Forest (QRF) algorithm, a range of environmental covariates, and a national database of 1540 SOC stock profiles. Our results provided a revised assessment of the SOC stock on the Tunisian territory at 391Tg C in the first 30 cm of soil profile, i.e. an average of 2.53 kg m-2. The map of SOC stocks outperformed global DSM products such as SoilGrids 2.0 in both R2 (0.44 vs. 0.15) and RMSE (1.94 vs. 2.52 kg m−2) and can be used as a benchmark against changes of land use and climate. The importance of the environmental covariates tested indicates the major role of bioclimatic data and, to a lesser extent, remote sensing images and topography-related variables. Our study did not show a significant added value of using additional covariates in relation to nationally available variables or the SOC map predicted by SoilGrids2.0. Finally, our results showed that increasing the quality and quantity of soil profile observations is most likely the best way to improve the future SOC map, starting with the northern region of Tunisia, which has the highest SOC stock predictions and uncertainties in the country. An alternative way would be the exploration of new covariates through sub-national approaches. © 2022 Elsevier B.V.","Digital soil mapping; Machine learning spatial prediction; Multiple soil classes; National approach; Quantile regression forest; Soil organic carbon stocks; Tunisian soils",,"English",Article,"Final","",Scopus,2-s2.0-85133843894
"Jiang N., Li P., Feng Z.","57776463100;55872049000;7403442866;","Remote sensing of swidden agriculture in the tropics: A review",2022,"International Journal of Applied Earth Observation and Geoinformation","112",,"102876","","",,,"10.1016/j.jag.2022.102876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133282918&doi=10.1016%2fj.jag.2022.102876&partnerID=40&md5=126f20900e8107bc2fd9e44d712812e3","The evolution and transformations of swidden agriculture closely relate to ongoing studies of carbon budget, biological diversity, ecosystem services, indigenous wellbeing, and ethnic identities. Remote sensing has become an important tool to quantify and display swidden agriculture in transition. Due to its diversity, dynamics, and complexity, however, the development of universal remote sensing algorithms for mapping swidden agriculture faces major challenges. Although swidden agriculture has increasingly become the focus of climate change and other sustainable initiatives, a systematic review on remote sensing of this farming system in the tropics is seldom reported. With 89 peer-reviewed journal articles related to the identification, mapping, monitoring or forecast of swidden agriculture since the 1970s, the methodological progresses and shortcomings of remote sensing of swidden agriculture were compared and summarized, followed by providing several perspectives on near-future research directions. The conclusions were drawn as follows. Firstly, the limited remote sensing studies of swidden agriculture were mostly reported in Southeast Asia (66%), followed by Latin America and Central Africa. Secondly, Landsat is the most (59%) widely applied to monitor swidden agriculture and also holds huge potential in delineating its trajectories. Thirdly, the spectral feature-based algorithms (76%) are more used than the counterparts of geometric-based and structure-based ones. Finally, several aspects including exploring new data and algorithms for the enhancement of remote sensing of swidden agriculture have been proposed. This review paper might be served as a long-delayed appeal for strengthening remote sensing of swidden agriculture in the tropics for accurately assessing the carbon budget of forest change and other ecological and social effects caused by the evolution and transformations of swidden agriculture. © 2022 The Authors","Dry season; Landsat; Slash-and-burn; Spectral feature-based algorithms; Swidden agriculture; The tropics","algorithm; computer simulation; Landsat; remote sensing; satellite data; satellite imagery; Central Africa; Latin America","English",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85133282918
"Jahandideh Mahjenabadi V.A., Roohollah Mousavi S., Rahmani A., Karami A., Asadi Rahmani H., Khavazi K., Rezaei M.","57667528600;57668851500;57220617561;54684026000;57197816204;24923039700;57072785600;","Digital mapping of soil biological properties and wheat yield using remotely sensed, soil chemical data and machine learning approaches",2022,"Computers and Electronics in Agriculture","197",,"106978","","",,,"10.1016/j.compag.2022.106978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129539795&doi=10.1016%2fj.compag.2022.106978&partnerID=40&md5=a26bd745e7cd8a88bb8a6c66cad162ef","Mapping of soil properties by using novel machine learning (ML) algorithms and optimized environmental covariates is of great importance for agricultural management to enhance crop production. This research aimed at evaluating ML algorithms to predict spatial distribution of soil biological properties and wheat yield in the Southwest of Iran. Topsoil samples (0–30 cm) were collected from a total of 60 sampling locations and wheat grain yield (plot 1 × 1 m) was recorded at each location. Soil properties including urease (Ur), alkaline phosphatase (AP), basal respiration (BR), microbial biomass carbon (MBC), soil organic carbon (SOC), MBC:SOC ratio, and metabolic quotient (qCO2) were measured. At the first step, Random Forest (RF) model was employed to predict soil biological properties by using terrain attributes, remote sensing indices and soil properties as covariates. In this step, both Variance Inflation Factor (VIF) and Pearson regression were applied to select the most important covariates in predicting soil biological properties and to decrease the dimension of the input space with considering no reduction in prediction accuracy. Secondly, wheat grain yield was modeled using six ML algorithms; they were optimized and evaluated in Caret package with 10-fold cross validation. Results showed the highest prediction accuracy for qCO2 (R2adj = 0.80) and the lowest for BR (R2adj = 0.23). Compared to environmental predictors, soil covariates had a greater effect in modeling Ur, qCO2, MBC and MBC:SOC ratio, while, for AP and BR, bands 6 and Chanel Network Base Level were the most important factors, respectively. In prediction of wheat grain yield, both Stochastic Gradient Boosting (SGB) and RF models outperformed with R2adj of 0.89 and 0.88, respectively. Results indicated that the Ur and AP played the major roles in predicting wheat grain yield and explaining its spatial variability. Our modeling results suggested that soil biological properties and yield can be estimated easily with reasonable accuracy. Overall, their high resolution maps may be useful for decision makers, stakeholders and applicants in agricultural management practices towards precision agriculture. © 2022 Elsevier B.V.","Environmental covariates; Machine learning; Soil biological properties; Spatial modeling; Yield","Adaptive boosting; Alkalinity; Crops; Cultivation; Decision trees; E-learning; Forecasting; Grain (agricultural product); Mapping; Organic carbon; Phosphatases; Remote sensing; Soil surveys; Soils; Stochastic models; Stochastic systems; Covariates; Environmental covariate; Grain yield; Machine learning algorithms; Microbial biomass carbon; Soil biological properties; Soil property; Spatial modelling; Wheat grains; Yield; Machine learning; agricultural management; crop yield; digital mapping; digital terrain model; machine learning; organic carbon; phosphatase; remote sensing; respiration; sampling; spatial distribution; wheat; Iran","English",Article,"Final","",Scopus,2-s2.0-85129539795
"Biney J.K.M., Vašát R., Bell S.M., Kebonye N.M., Klement A., John K., Borůvka L.","57219335683;8908690700;57458568700;57195504370;54420429700;57194794256;55910920600;","Prediction of topsoil organic carbon content with Sentinel-2 imagery and spectroscopic measurements under different conditions using an ensemble model approach with multiple pre-treatment combinations",2022,"Soil and Tillage Research","220",,"105379","","",,1,"10.1016/j.still.2022.105379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127051045&doi=10.1016%2fj.still.2022.105379&partnerID=40&md5=fdc87cd527691c7d3354ff8300912357","Estimating soil organic carbon (SOC) using visible near infrared (Vis-NIR) spectroscopy has proven to be a rapid and reliable approach. However, when working across large geographical scales, remote sensing may be more suitable. Acquiring these spectra data normally under different measurement conditions could introduce artefacts that reduce SOC prediction accuracy. A common procedure has been using calibration or multivariate techniques in conjunction with one or more pre-treatment algorithms. The results of several comparative studies based on these predictive calibration techniques used alone were inconsistent. Moreover, protocols to select the most appropriate pre-treatment algorithms rarely exist. This study combines predictions from different techniques into a single model based on an ensemble learning approach. The main objective is to improve the accuracy of SOC prediction by assessing the effectiveness of using different calibration techniques individually against an ensemble model consisting of one statistical method, which includes partial least squares regression (PLSR), and three machine learning (ML) algorithms, including random forest (RF), support vector machine regression (SVMR), and Cubist. Several pre-treatment algorithms were also employed to improve the spectral data before prediction. Spectra data were collected from three different agricultural fields (with different soil types), under different spectral measurement conditions (field, wet and dry). Additionally, Sentinel-2 (S2) data was collected from one of these fields. Furthermore, to ascertain the effectiveness of the developed model on regional scale dataset, two options were employed: (1) merged data from all fields, and (2) merged data from fields measured under the same spectral measurement conditions. The models were evaluated using root mean square error of prediction (RMSEPCV), the coefficient of determination (R²CV), the ratio of performance to interquartile range (RPIQ), the ratio of performance to deviation (RPD) and BIAS. The results show that, across the three agricultural fields, the ensemble model predicted SOC more accurately than each of the individual calibration techniques (R2CV = 0.92, RMSEPCV (g/kg) = 1.00, RPD = 3.06, RPIQ = 3.74, BIAS (g/kg) = 0.067). The models derived from merged data (regional dataset) show that the ensemble approach predicted SOC more accurately with option 2 than option 1. Finally, while the ensemble model improves SOC accuracy with S2 data, the final output was poor. Further research to determine the underlying problem is strongly recommended. Nonetheless, these results indicate that the ensemble model is advantageous because it improved the prediction accuracy of SOC and reduced the error margin. © 2022 Elsevier B.V.","Agricultural soil; Ensemble predictive model; Pre-treatment; Sentinel-2; Soil organic carbon; Spectroscopy (field-wet-dry)","Agriculture; Calibration; Decision trees; Infrared devices; Learning algorithms; Least squares approximations; Mean square error; Organic carbon; Remote sensing; Soil surveys; Soils; Spectroscopy; Support vector machines; Agricultural soils; Calibration techniques; Ensemble models; Ensemble predictive model; Pre-treatments; Predictive models; Sentinel-2; Soil organic carbon; Spectroscopy (field-wet-dry); Wet dries; Forecasting; imagery; organic carbon; spectroscopy; topsoil; Croatia; Vis","English",Article,"Final","",Scopus,2-s2.0-85127051045
"Igwe V., Salehi B., Mahdianpari M.","57742558100;36610817400;57190371939;","State-wide wetland inventory map of minnesota using multi-source and multi-Temporalremote sensing data",2022,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","5","3",,"411","416",,,"10.5194/isprs-Annals-V-3-2022-411-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132023096&doi=10.5194%2fisprs-Annals-V-3-2022-411-2022&partnerID=40&md5=7f3b84b30d770d77fa4efa8c991ae8d3","Carbon sequestration coupled with flood mitigation and other functions of wetlands, such as water filtration, coastal protection, biodiversity, and providing recreational spots, make wetland mapping and monitoring important for different countries. Google Earth Engine (GEE) cloud computing platform is becoming a very important tool for lots of environmental studies as it provides a suite of tools and access to data that facilitate large-scale environmental monitoring projects through its powerful parallel processing capabilities. In this study, we use GEE to access multi-source remote sensing datasets and implement an object-based image analysis, and random forest algorithm for the classification of wetlands in the state of Minnesota. Emergent, forested, and scrub-shrub wetland classes, water, as well as urban, forest, and agriculture land cover types were classified using Sentinel-2, Sentinel-1, USGS 3D Elevation Program 10-meter DEM, and gridded soil data. NDVI, EVI, BSI, NDBI, and NDWI spectral indices were calculated from Sentinel-2 imagery, VV and VH polarization channels, and their ratio, as well as span parameters, were calculated from Sentinel-1 imagery, and slope and aspect features were extracted from DEM. Simple Non-Iterative Clustering (SNIC), Gray-Level Co-occurrence Matrix (GLCM), Principal Components Analysis (PCA), and random forest algorithms were implemented to classify wetlands from the GEE platform. Emergent wetlands, water, urban, and agriculture classes performed well with producer accuracies greater than 90%. Sentinel-1, DEM, and soil datasets improve the identification of wetland classes and highlight the importance of multi-source approaches for wetland mapping. © Authors 2022.","google earth engine; Minnesota; multi-source data; object-based image analysis; random forest; remote sensing; Wetlands","Biodiversity; Classification (of information); Decision trees; Engines; Forestry; Geographic information systems; Image analysis; Iterative methods; Mapping; Principal component analysis; Remote sensing; Water filtration; Google earth engine; Google earths; Image-analysis; Minnesota; Multisource data; Object based; Object-based image analyse; Objects-based; Random forests; Remote-sensing; Wetlands","English",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85132023096
"Potash E., Guan K., Margenot A., Lee D., DeLucia E., Wang S., Jang C.","56925446300;56382070400;56145435900;9044435900;35553263900;57221277104;55963785100;","How to estimate soil organic carbon stocks of agricultural fields? perspectives using ex-ante evaluation",2022,"Geoderma","411",,"115693","","",,2,"10.1016/j.geoderma.2021.115693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122622997&doi=10.1016%2fj.geoderma.2021.115693&partnerID=40&md5=54bfcfc694f1cdaf437171579e354666","Estimating soil organic carbon (SOC) stocks of agricultural fields has a range of important applications from development of sustainable management practices to monitoring carbon stocks. There are many estimation strategies with the potential for more reliable estimates of SOC stock and more efficient use of soil sampling and analysis resources, especially by leveraging readily available auxiliary information such as remote sensing. However, concrete guidance for strategy selection is lacking. This study narrows this gap with a comparison of strategies for estimating deep SOC stock (0–60 cm) in a prototypical field. Using high density SOC stock measurements and simulation, we built on past studies by 1) ex-ante evaluating a large number of strategy options, 2) using a Bayesian approach to quantify the uncertainty of the comparison, and 3) considering multiple Bayesian models to assess sensitivity to this modeling choice. We found that, using readily available auxiliary information, both balanced and stratified sampling offer substantial improvements over simple random sampling. The auxiliary information most important for this improvement is a Sentinel-2 SOC index = blue / (green × red), followed by the topographic wetness index. We found that these results are robust to the choice of mapping method, but that there is uncertainty in the magnitude of improvement. We recommend future studies implement this Bayesian approach for simulated ex-ante evaluation of SOC stock estimation strategies across more fields to investigate the generalizability of these findings. © 2022 Elsevier B.V.","Bayesian; Estimation; Evaluation; Geostatistics; Sampling; Soil carbon stocks","Agriculture; Organic carbon; Remote sensing; Soils; Uncertainty analysis; Agricultural fields; Auxiliary information; Bayesian; Bayesian approaches; Estimation strategies; Evaluation; Ex ante evaluation; Geo-statistics; Soil carbon stock; Soil organic Carbon stocks; Bayesian networks; Bayesian analysis; mapping method; organic carbon; sampling; Sentinel; soil carbon; sustainability","English",Article,"Final","",Scopus,2-s2.0-85122622997
"Oldfield E.E., Eagle A.J., Rubin R.L., Rudek J., Sanderman J., Gordon D.R.","55793093000;6603787452;57538753400;57193961043;8735773200;7403582071;","Crediting agricultural soil carbon sequestration",2022,"Science","375","6586",,"1222","1225",,3,"10.1126/science.abl7991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126692875&doi=10.1126%2fscience.abl7991&partnerID=40&md5=8c65e5ad9e3e063ba33bebb143983f17",[No abstract available],,"carbon dioxide; methane; agricultural soil; carbon sequestration; climate change; mitigation; soil carbon; agriculture; Article; atmospheric deposition; carbon emission; carbon sequestration; carbon storage; climate change; cropland; cropping system; deforestation; drought; environmental impact; environmental monitoring; environmental policy; environmental sustainability; green chemistry; greenhouse gas emission; harvest; land use; remote sensing; soil management; soil property; tillage","English",Article,"Final","",Scopus,2-s2.0-85126692875
"Sun W., Liu S., Zhang X., Li Y.","57192690966;57257511200;56004258600;57214960236;","Estimation of soil organic matter content using selected spectral subset of hyperspectral data",2022,"Geoderma","409",,"115653","","",,2,"10.1016/j.geoderma.2021.115653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121229178&doi=10.1016%2fj.geoderma.2021.115653&partnerID=40&md5=2bf4e6531077ed2cbec5155a0cf01ab2","Soil organic matter (SOM) content plays an important role in the global carbon cycle and agricultural activities. Reflectance spectroscopy has been recognized as a promising method to rapidly estimate SOM content. However, the existing estimation methods mainly apply partial least squares regression (PLSR) to the entire spectral region of hyperspectral data. Here we proposed a method to extract the informative spectral subset based on spectral characteristics of soil constituents, which was then used to estimate SOM content with PLSR. Genetic algorithm (GA) and variable importance in the projection (VIP) score of PLSR were adopted to further select spectral bands separately. Both laboratory spectra of soil samples collected from an agricultural area and a hyperspectral satellite image were used to evaluate the performance of the method. For the estimations of SOM content using laboratory spectra, compared with the estimation using the entire spectral region of 400–2400 nm, the model accuracy was improved by using the spectral bands associated with clay minerals and the combined spectral bands of organic matter and clay minerals. For the estimations using soil spectra from hyperspectral remote sensing image, the RMSE and R2 values were improved from 0.91% and 0.34 to 0.55% and 0.76 by using the spectral bands associated with organic matter in comparison with the entire spectral region of 390–1029 nm. The estimation model developed with GA-PLSR using soil spectra from the hyperspectral satellite image was applied to map SOM content. Results suggest that estimating SOM content using informative spectral subset is promising and can be transferred to the hyperspectral satellite image to map SOM content. © 2021 Elsevier B.V.","Gaofen-5 satellite; Hyperspectral remote sensing image; Soil organic matter; Spectral subset selection; VNIR-SWIR spectroscopy","Agriculture; Biogeochemistry; Genetic algorithms; Image enhancement; Remote sensing; Satellites; Set theory; Soils; Spectroscopy; Gaofen-5 satellite; Hyperspectral Remote Sensing Image; Partial least square regression; Soil organic matter contents; Soil organic matters; Spectra's; Spectral band; Spectral subset selection; Subset selection; VNIR/SWIR spectroscopy; Least squares approximations; Cam-clay model; carbon cycle; clay mineral; estimation method; particulate organic matter; remote sensing; satellite data; satellite imagery; soil organic matter","English",Article,"Final","",Scopus,2-s2.0-85121229178
"Tripathi A., Tiwari R.K.","57202114561;41762965800;","Utilisation of spaceborne C-band dual pol Sentinel-1 SAR data for simplified regression-based soil organic carbon estimation in Rupnagar, Punjab, India",2022,"Advances in Space Research","69","4",,"1786","1798",,3,"10.1016/j.asr.2021.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113859289&doi=10.1016%2fj.asr.2021.08.007&partnerID=40&md5=422f2dda9765e956941febf7b9a9e592","Soil Organic Carbon (SOC) is a measure of the total carbon content of the soil and is a vital soil health indicator. Over the decades, SOC has been estimated using sampling followed by rigorous laboratory-based testing methods. Spaceborne Microwave/Synthetic Aperture RADAR (SAR) remote sensing has proven to be a versatile tool for various soil study applications. However, there have been very few studies conducted for SOC estimation using SAR remote sensing. This study utilises time-series, C-band remotely sensed SAR data from Sentinel-1 A satellite for SOC estimation and compared the performances of Random Forest (RF) and Ordinary Least Squares (OLS) Regression models over agricultural areas of Rupnagar district of Punjab in India. A set of 96 soil samples were collected from 32 different agricultural field locations in Rupnagar district between November 2019 to January 2020. SAR backscatter of Vertically emitted and Vertically received (VV) and Vertically emitted and Horizontally received (VH) polarisation channels, from Sentinel-1, soil moisture, electrical conductivity, pH, temperature and SOC from the laboratory-based testing methods were used as regression parameters. The RF regression gave a Root Mean Square Error (RMSE) of 0.78 and R2 statistics of 0.887, while the OLS method performed better with an RMSE of 0.53 and an R2 value of 0.907. It was also observed that the backscatter from VV and VH polarisation channels, when used synergistically with field data, have the highest Feature Importance (FI) score in both RF and OLS regression models for SOC estimation. © 2021 COSPAR","OLS regression; RF regression; SAR backscatter; Soil health; Soil organic carbon","Agriculture; Backscattering; Decision trees; Mean square error; Regression analysis; Remote sensing; Soil moisture; Soil surveys; Soil testing; Synthetic aperture radar; Carbon estimations; Ordinary least squares regressions; Random forest regression; Random forests; Rupnagar; Sentinel-1; Soil health; Soil organic carbon; Space-borne; Synthetic aperture RADAR backscatter; Organic carbon","English",Article,"Final","",Scopus,2-s2.0-85113859289
